# _tick,_time,frames,mean_episode_return_0,loss_0
4972,1718030039.4283133,5220600,-0.06389608234167099,0.720355749130249
4973,1718030039.9289253,5221650,-0.06470449268817902,0.7295490503311157
4974,1718030040.4449728,5222700,-0.06377081573009491,0.7574236392974854
4975,1718030040.928997,5223750,-0.06251552700996399,0.772953450679779
4976,1718030041.411582,5224800,-0.061871763318777084,0.7167272567749023
4977,1718030041.8948908,5225850,-0.0618855282664299,0.7059632539749146
4978,1718030042.360589,5226900,-0.061073657125234604,0.7401700615882874
4979,1718030042.8118196,5227950,-0.06049084663391113,0.7463682889938354
4980,1718030043.3123548,5229000,-0.06030666455626488,0.7136371731758118
4981,1718030043.7950108,5230050,-0.06044969707727432,0.7020618319511414
4982,1718030044.2698045,5231100,-0.060340408235788345,0.6680288910865784
4983,1718030044.7282395,5232150,-0.06124823912978172,0.7109810709953308
4984,1718030045.2117987,5233200,-0.061271075159311295,0.7362964153289795
4985,1718030045.6954162,5234250,-0.06174303963780403,0.683649480342865
4986,1718030046.1616263,5235300,-0.06163405999541283,0.7279463410377502
4987,1718030046.6284626,5236350,-0.06218064948916435,0.7062090039253235
4988,1718030047.1115963,5237400,-0.06257158517837524,0.7130527496337891
4989,1718030047.578417,5238450,-0.062492117285728455,0.7446324229240417
4990,1718030048.0637486,5239500,-0.06328073889017105,0.7189248204231262
4991,1718030048.5438354,5240550,-0.06391450762748718,0.6835201978683472
4992,1718030049.0448854,5241600,-0.06435934454202652,0.708451509475708
4993,1718030049.5115788,5242650,-0.06406999379396439,0.690819263458252
4994,1718030049.9785094,5243700,-0.06337349116802216,0.6875489950180054
4995,1718030050.512442,5244750,-0.06318292766809464,0.7241606712341309
4996,1718030051.0615113,5245800,-0.062412843108177185,0.6840333938598633
4997,1718030051.5635648,5246850,-0.06246788427233696,0.7542384266853333
4998,1718030052.0284574,5247900,-0.06277155131101608,0.7614097595214844
4999,1718030052.5115123,5248950,-0.06302878260612488,0.7800034284591675
5000,1718030052.9782023,5250000,-0.06264770776033401,0.7307656407356262
5001,1718030053.461759,5251050,-0.06145863980054855,0.727969229221344
5002,1718030053.911827,5252100,-0.062011223286390305,0.7203852534294128
5003,1718030054.3951666,5253150,-0.06217791512608528,0.7227836847305298
5004,1718030054.8784316,5254200,-0.06209998205304146,0.736336886882782
5005,1718030055.3784466,5255250,-0.06271719187498093,0.726553201675415
5006,1718030055.878198,5256300,-0.06226668879389763,0.7038780450820923
5007,1718030056.3453777,5257350,-0.0627293810248375,0.7291911244392395
5008,1718030056.844824,5258400,-0.06193419545888901,0.7409409284591675
5009,1718030057.3281379,5259450,-0.06202000007033348,0.6967597603797913
5010,1718030057.7784004,5260500,-0.0616430789232254,0.7566881775856018
5011,1718030058.2448056,5261550,-0.06254056096076965,0.7170301079750061
5012,1718030058.7280993,5262600,-0.06258824467658997,0.6631230711936951
5013,1718030059.2116637,5263650,-0.06294789910316467,0.7058423757553101
5014,1718030059.6781235,5264700,-0.06339380890130997,0.6993903517723083
5015,1718030060.1448514,5265750,-0.06367137283086777,0.7057037949562073
5016,1718030060.6281083,5266800,-0.0630054622888565,0.7823346257209778
5017,1718030061.1130786,5267850,-0.06313607096672058,0.7218584418296814
5018,1718030061.5937355,5268900,-0.06244046241044998,0.7226518392562866
5019,1718030062.0617409,5269950,-0.06252926588058472,0.7323372960090637
5020,1718030062.5286627,5271000,-0.062378641217947006,0.7397546768188477
5021,1718030063.0117514,5272050,-0.0620700940489769,0.7179864645004272
5022,1718030063.4780009,5273100,-0.062362946569919586,0.7074428200721741
5023,1718030063.9615114,5274150,-0.06194206327199936,0.7834485173225403
5024,1718030064.428387,5275200,-0.061958976089954376,0.6935789585113525
5025,1718030064.91218,5276250,-0.06170405447483063,0.7226244211196899
5026,1718030065.3781505,5277300,-0.06244804337620735,0.6838584542274475
5027,1718030065.8446531,5278350,-0.06249706819653511,0.7454630136489868
5028,1718030066.3280418,5279400,-0.06312602758407593,0.69188392162323
5029,1718030066.8117032,5280450,-0.06301122903823853,0.6883363127708435
5030,1718030067.2280104,5281500,-0.06243157014250755,0.7053830623626709
